[-0.16570091 -0.16570091]
[-0.36001205 -0.36001205]
[-0.11563301 -0.11563301]
[0.1001358 0.1001358]
[0.20503998 0.20503998]
[-0.05722046 -0.05722046]
[-0.2670288 -0.2670288]
[-0.32186508 -0.32186508]
[-0.1835823 -0.1835823]
[-0.05602837 -0.05602837]
[0.03695488 0.03695488]
[-0.11205673 -0.11205673]
[0.10490417 0.10490417]
[-0.44465065 -0.44465065]
[-0.2861023 -0.2861023]
[-0.37312508 -0.37312508]
[-0.13113022 -0.13113022]
[-0.16450882 -0.16450882]
[0.03695488 0.03695488]
[0.03099442 0.03099442]
[0.0500679 0.0500679]
[-0.10490417 -0.10490417]
[-0.06914139 -0.06914139]
[-0.06556511 -0.06556511]
[-0.32424927 -0.32424927]
[-0.18239021 -0.18239021]
[-0.17762184 -0.17762184]
[-0.14185905 -0.14185905]
[-0.06437302 -0.06437302]
[0.17881393 0.17881393]
[-0.1335144 -0.1335144]
[-0.12636185 -0.12636185]
[0.00119209 0.00119209]
[0.07748604 0.07748604]
[0.0667572 0.0667572]
[0.17046928 0.17046928]
[0.22411346 0.22411346]
[0.1513958 0.1513958]
[0.04053116 0.04053116]
[-0.11086464 -0.11086464]
[0.3540516 0.3540516]
[0.20384789 0.20384789]
[-0.0667572 -0.0667572]
[0.21100044 0.21100044]
[0.20742416 0.20742416]
[0.02741814 0.02741814]
[-0.17642975 -0.17642975]
[-0.02145767 -0.02145767]
[-0.06198883 -0.06198883]
[0.09059906 0.09059906]
[-0.07510185 -0.07510185]
[0.14066696 0.14066696]
[-0.04053116 -0.04053116]
[-0.05125999 -0.05125999]
[0.07390976 0.07390976]
[-0.08583069 -0.08583069]
[0.06914139 0.06914139]
[0.10967255 0.10967255]
[0.15497208 0.15497208]
[0.06556511 0.06556511]
[-0.12874603 -0.12874603]
[0.0333786 0.0333786]
[0.00715256 0.00715256]
[0.0166893 0.0166893]
[0.02622604 0.02622604]
[0.00834465 0.00834465]
[0.12636185 0.12636185]
[-0.09894371 -0.09894371]
[0.03099442 0.03099442]
[-0.07271767 -0.07271767]
[0.05483627 0.05483627]
[0.02026558 0.02026558]
[0.1013279 0.1013279]
[-0.17642975 -0.17642975]
[0.11086464 0.11086464]
[0.13232231 0.13232231]
[0.14066696 0.14066696]
[0.09894371 0.09894371]
[-0.14901161 -0.14901161]
[0.11086464 0.11086464]
[0.17166138 0.17166138]
[-0.04172325 -0.04172325]
[0.07748604 0.07748604]
[0.16570091 0.16570091]
[0.0500679 0.0500679]
[0.1680851 0.1680851]
[-0.1001358 -0.1001358]
[0.05841255 0.05841255]
[0.12278557 0.12278557]
[-0.05960464 -0.05960464]
[0.02264977 0.02264977]
[0.5054474 0.5054474]
[0.7247925 0.7247925]
[0.6234646 0.6234646]
[0.2515316 0.2515316]
[-0.02264977 -0.02264977]
[0.11920929 0.11920929]
[0.02145767 0.02145767]
[0.30517578 0.30517578]
[0.27418137 0.27418137]
[0.2682209 0.2682209]
[0.0667572 0.0667572]
